robot,candidate_id,J2_J3_mm,J3_J4_mm,J4_J5_mm,J5_J6_mm,size_x_mm,size_y_mm,size_z_mm,worst_axis_ratio,rule_pass,arm_size_x_mm,arm_size_y_mm,arm_size_z_mm,clearance_mm,task_best_candidate,task_robust_fraction
orth6r_03694c5d7af4,orth6r_03694c5d7af4_q00,60.0,296.14,390.0,0.0,404.24,498.72,483.63,0.8312,True,279.24,498.72,288.63,1.293,orth6r_03694c5d7af4_q00_rear_left,-1.0
orth6r_03a12a816c95,orth6r_03a12a816c95_q00,290.0,390.0,0.0,60.0,448.06,435.01,455.0,0.75833,True,448.06,310.01,260.0,0.0,orth6r_03a12a816c95_q00_mid_left,0.28593
orth6r_03e704fdcfb4,orth6r_03e704fdcfb4_q00,60.0,296.14,390.0,0.0,360.0,474.7,533.69,0.88949,True,353.18,396.13,338.69,0.0,orth6r_03e704fdcfb4_q00_rear_left,-1.0
orth6r_07fa5db950bd,orth6r_07fa5db950bd_q00,60.0,296.14,390.0,0.0,489.07,360.0,499.87,0.83311,True,488.03,260.74,304.87,0.0,orth6r_07fa5db950bd_q00_rear_right,0.19704
orth6r_0c91a636710b,orth6r_0c91a636710b_q00,60.0,296.14,390.0,0.0,504.57,361.44,542.38,0.90397,True,403.48,330.63,347.38,1.902,orth6r_0c91a636710b_q00_rear_left,-1.0
orth6r_0d4619e319d2,orth6r_0d4619e319d2_q00,290.0,390.0,0.0,60.0,449.46,459.17,455.0,0.76528,True,324.46,459.17,260.0,3.512,orth6r_0d4619e319d2_q00_rear_right,-1.0
orth6r_0e5f117bdb63,orth6r_0e5f117bdb63_q00,290.0,390.0,0.0,60.0,455.0,408.47,455.0,0.75833,False,395.28,367.17,260.0,-47.0,orth6r_0e5f117bdb63_q00_rear_left,-1.0
orth6r_0ee68da88723,orth6r_0ee68da88723_q00,290.0,390.0,0.0,60.0,408.48,455.0,455.0,0.75833,False,368.34,395.27,260.0,-47.0,orth6r_0ee68da88723_q00_rear_left,-1.0
orth6r_0f17787e2732,orth6r_0f17787e2732_q00,290.0,390.0,0.0,60.0,429.48,455.0,455.0,0.75833,True,313.26,455.0,260.0,15.805,orth6r_0f17787e2732_q00_rear_right,-1.0
orth6r_0f66a629e196,orth6r_0f66a629e196_q00,290.0,390.0,0.0,0.0,455.0,407.37,455.0,0.75833,True,368.99,407.37,260.0,1.759,orth6r_0f66a629e196_q00_mid_left,0.3758
orth6r_11921658c4d0,orth6r_11921658c4d0_q00,290.0,390.0,0.0,60.0,455.0,409.7,455.0,0.75833,True,455.0,284.7,260.0,0.002,orth6r_11921658c4d0_q00_rear_left,-1.0
orth6r_11a1e91c1411,orth6r_11a1e91c1411_q00,290.0,390.0,0.0,60.0,453.95,453.93,455.0,0.75833,True,328.95,453.93,260.0,4.796,orth6r_11a1e91c1411_q00_rear_center,0.05333
orth6r_11c4507ab405,orth6r_11c4507ab405_q00,290.0,390.0,0.0,60.0,455.0,449.57,455.0,0.75833,True,373.49,449.57,260.0,8.491,orth6r_11c4507ab405_q00_rear_right,-1.0
orth6r_148133fca859,orth6r_148133fca859_q00,60.0,296.14,390.0,0.0,360.0,489.8,501.69,0.83616,True,341.19,440.16,306.69,0.001,orth6r_148133fca859_q00_rear_center,0.52778
orth6r_14c5bd167a86,orth6r_14c5bd167a86_q00,60.0,296.14,390.0,0.0,371.95,360.0,648.33,1.08055,False,271.38,358.72,453.33,2.524,orth6r_14c5bd167a86_q00_mid_left,-1.0
orth6r_1662155c14b4,orth6r_1662155c14b4_q00,60.0,296.14,390.0,0.0,487.54,360.0,507.91,0.84651,True,465.83,344.37,312.91,0.0,orth6r_1662155c14b4_q00_rear_left,-1.0
orth6r_1a8b1ee0531c,orth6r_1a8b1ee0531c_q00,0.0,290.0,390.0,0.0,387.39,455.0,455.0,0.75833,True,333.42,414.84,260.0,4.713,orth6r_1a8b1ee0531c_q00_rear_right,0.50074
orth6r_1b685f312f5c,orth6r_1b685f312f5c_q00,290.0,390.0,0.0,60.0,455.0,415.19,455.0,0.75833,True,389.64,415.19,260.0,1.468,orth6r_1b685f312f5c_q00_mid_left,0.06667
orth6r_1cbc42f09afb,orth6r_1cbc42f09afb_q00,290.0,390.0,0.0,0.0,452.41,448.03,456.4,0.76066,True,327.41,448.03,261.4,14.472,orth6r_1cbc42f09afb_q00_rear_right,0.2158
orth6r_1e06a293b7f2,orth6r_1e06a293b7f2_q00,0.0,290.0,390.0,0.0,360.0,444.63,455.0,0.75833,True,358.15,373.07,260.0,0.001,orth6r_1e06a293b7f2_q00_rear_right,0.47222
orth6r_1fab2f0cdd9a,orth6r_1fab2f0cdd9a_q00,290.0,390.0,0.0,60.0,408.47,455.0,455.0,0.75833,False,386.38,441.77,260.0,-47.0,orth6r_1fab2f0cdd9a_q00_rear_left,-1.0
orth6r_20484ebc927b,orth6r_20484ebc927b_q00,290.0,390.0,0.0,60.0,455.0,409.79,455.0,0.75833,True,455.0,334.14,260.0,0.0,orth6r_20484ebc927b_q00_rear_right,0.09136
orth6r_218c75d824a1,orth6r_218c75d824a1_q00,290.0,390.0,0.0,60.0,425.48,453.81,455.0,0.75833,True,300.48,453.81,260.0,0.003,orth6r_218c75d824a1_q00_mid_left,0.39259
orth6r_2294bde74b3b,orth6r_2294bde74b3b_q00,290.0,390.0,0.0,60.0,408.47,455.0,455.0,0.75833,True,407.36,330.0,260.0,2.214,orth6r_2294bde74b3b_q00_mid_left,-1.0
orth6r_2304cc33139d,orth6r_2304cc33139d_q00,60.0,296.14,390.0,0.0,493.04,360.0,582.19,0.97032,True,368.04,187.83,387.19,0.166,orth6r_2304cc33139d_q00_rear_left,-1.0
orth6r_233206963769,orth6r_233206963769_q00,60.0,296.14,390.0,0.0,468.06,443.35,494.15,0.82358,True,468.06,357.99,299.15,0.0,orth6r_233206963769_q00_rear_right,-1.0
orth6r_2474f52a561a,orth6r_2474f52a561a_q00,60.0,296.14,390.0,0.0,513.15,519.02,487.17,0.86503,True,388.15,442.35,305.7,2.146,orth6r_2474f52a561a_q00_rear_left,-1.0
orth6r_24bc120093b4,orth6r_24bc120093b4_q00,60.0,296.14,390.0,0.0,371.97,360.0,648.33,1.08055,False,335.25,359.77,453.33,4.569,orth6r_24bc120093b4_q00_rear_left,0.0
orth6r_265440142d12,orth6r_265440142d12_q00,60.0,296.14,390.0,0.0,360.0,527.76,537.11,0.89519,True,237.41,501.53,342.11,3.662,orth6r_265440142d12_q00_rear_left,-1.0
