robot,candidate_id,parking_id,J2_J3_mm,J3_J4_mm,J4_J5_mm,J5_J6_mm,tier1,tier2,tier3,pickup,module_basic,module_stress,module_min_clearance_mm,module_min_joint_margin_rad,robust_fraction
orth6r_03694c5d7af4,orth6r_03694c5d7af4_q00_rear_left,rear_left,60.0,296.14,390.0,0.0,0/15,0/25,0/27,0/72,False,0/9,,,-1.0
orth6r_03a12a816c95,orth6r_03a12a816c95_q00_mid_left,mid_left,290.0,390.0,0.0,60.0,4/15,12/25,3/27,29/72,True,7/9,6.03,0.2803802917471141,0.2859
orth6r_03e704fdcfb4,orth6r_03e704fdcfb4_q00_rear_left,rear_left,60.0,296.14,390.0,0.0,0/15,0/25,0/27,0/72,False,0/9,,,-1.0
orth6r_07fa5db950bd,orth6r_07fa5db950bd_q00_rear_right,rear_right,60.0,296.14,390.0,0.0,0/15,12/25,3/27,32/72,True,8/9,6.67,0.34877720313590355,0.197
orth6r_0c91a636710b,orth6r_0c91a636710b_q00_rear_left,rear_left,60.0,296.14,390.0,0.0,0/15,0/25,0/27,0/72,False,0/9,-56.41,0.19452606745398882,-1.0
orth6r_0d4619e319d2,orth6r_0d4619e319d2_q00_rear_right,rear_right,290.0,390.0,0.0,60.0,0/15,6/25,4/27,40/72,False,2/9,-31.14,0.6877931423210861,-1.0
orth6r_0e5f117bdb63,orth6r_0e5f117bdb63_q00_rear_left,rear_left,290.0,390.0,0.0,60.0,0/15,0/25,0/27,0/72,False,0/9,,,-1.0
orth6r_0ee68da88723,orth6r_0ee68da88723_q00_rear_left,rear_left,290.0,390.0,0.0,60.0,0/15,0/25,0/27,0/72,False,0/9,,,-1.0
orth6r_0f17787e2732,orth6r_0f17787e2732_q00_rear_right,rear_right,290.0,390.0,0.0,60.0,6/15,13/25,7/27,0/72,False,4/9,6.67,0.5443631625773417,-1.0
orth6r_0f66a629e196,orth6r_0f66a629e196_q00_mid_left,mid_left,290.0,390.0,0.0,0.0,8/15,13/25,2/27,41/72,True,9/9,6.67,0.6589142594494231,0.3758
orth6r_11921658c4d0,orth6r_11921658c4d0_q00_rear_left,rear_left,290.0,390.0,0.0,60.0,0/15,2/25,0/27,2/72,False,0/9,,,-1.0
orth6r_11a1e91c1411,orth6r_11a1e91c1411_q00_rear_center,rear_center,290.0,390.0,0.0,60.0,0/15,4/25,0/27,42/72,True,9/9,6.67,0.40848937694138554,0.0533
orth6r_11c4507ab405,orth6r_11c4507ab405_q00_rear_right,rear_right,290.0,390.0,0.0,60.0,4/15,11/25,5/27,35/72,False,0/9,-0.32,0.8891650664570421,-1.0
orth6r_148133fca859,orth6r_148133fca859_q00_rear_center,rear_center,60.0,296.14,390.0,0.0,10/15,20/25,4/27,38/72,True,9/9,6.67,1.0095014576364,0.5278
orth6r_14c5bd167a86,orth6r_14c5bd167a86_q00_mid_left,mid_left,60.0,296.14,390.0,0.0,0/15,1/25,0/27,2/72,False,0/9,-25.29,0.18308017719629488,-1.0
orth6r_1662155c14b4,orth6r_1662155c14b4_q00_rear_left,rear_left,60.0,296.14,390.0,0.0,0/15,0/25,0/27,0/72,False,0/9,,,-1.0
orth6r_1a8b1ee0531c,orth6r_1a8b1ee0531c_q00_rear_right,rear_right,0.0,290.0,390.0,0.0,9/15,17/25,6/27,37/72,True,9/9,6.67,0.7663567307805885,0.5007
orth6r_1b685f312f5c,orth6r_1b685f312f5c_q00_mid_left,mid_left,290.0,390.0,0.0,60.0,0/15,5/25,0/27,42/72,True,8/9,6.67,0.01078666347784285,0.0667
orth6r_1cbc42f09afb,orth6r_1cbc42f09afb_q00_rear_right,rear_right,290.0,390.0,0.0,0.0,5/15,6/25,2/27,57/72,True,9/9,6.67,0.800206016531015,0.2158
orth6r_1e06a293b7f2,orth6r_1e06a293b7f2_q00_rear_right,rear_right,0.0,290.0,390.0,0.0,9/15,17/25,7/27,34/72,True,9/9,6.67,0.7663567308153996,0.4722
orth6r_1fab2f0cdd9a,orth6r_1fab2f0cdd9a_q00_rear_left,rear_left,290.0,390.0,0.0,60.0,0/15,0/25,0/27,0/72,False,0/9,,,-1.0
orth6r_20484ebc927b,orth6r_20484ebc927b_q00_rear_right,rear_right,290.0,390.0,0.0,60.0,0/15,5/25,2/27,41/72,True,9/9,6.67,0.683651226459949,0.0914
orth6r_218c75d824a1,orth6r_218c75d824a1_q00_mid_left,mid_left,290.0,390.0,0.0,60.0,10/15,10/25,3/27,31/72,True,9/9,6.67,0.4763887548328709,0.3926
