candidate_id,robot,sample_index,sampling_kind,parking_id,span2_mm,span3_mm,span4_mm,span5_mm,factor2,factor3,factor4,factor5,tier1_complete,tier2_complete,tier3_complete,storage_balanced_fraction,pickup_complete,pickup_min_slot_complete,module_complete,module_stress_complete,module_stress_total,module_stress_min_clearance_m,module_stress_min_joint_margin_rad,elapsed_s
orth6r_03694c5d7af4_q00_rear_left,orth6r_03694c5d7af4,0,baseline,rear_left,60.0,296.1418578992169,390.0,0.0,1.0,1.0,1.0,,0,0,0,0.0,0,0,False,0,9,,,209.91428836299747
orth6r_03694c5d7af4_q00_rear_center,orth6r_03694c5d7af4,0,baseline,rear_center,60.0,296.1418578992169,390.0,0.0,1.0,1.0,1.0,,0,0,0,0.0,0,0,False,0,9,,,173.1228202909988
orth6r_03694c5d7af4_q00_rear_right,orth6r_03694c5d7af4,0,baseline,rear_right,60.0,296.1418578992169,390.0,0.0,1.0,1.0,1.0,,0,0,0,0.0,0,0,False,0,9,,,142.85520951400395
orth6r_03694c5d7af4_q00_mid_left,orth6r_03694c5d7af4,0,baseline,mid_left,60.0,296.1418578992169,390.0,0.0,1.0,1.0,1.0,,0,0,0,0.0,0,0,False,0,9,,,201.91479484699812
orth6r_03a12a816c95_q00_rear_left,orth6r_03a12a816c95,0,baseline,rear_left,290.0,390.0,0.0,60.0,1.0,1.0,,1.0,0,5,0,0.06666666666666667,18,2,True,7,9,0.00666666666666671,0.0032726007357912756,56.963774993993866
orth6r_03a12a816c95_q00_rear_center,orth6r_03a12a816c95,0,baseline,rear_center,290.0,390.0,0.0,60.0,1.0,1.0,,1.0,1,12,4,0.23160493827160492,10,0,True,7,9,0.002145012312051116,0.30648724045766373,81.00155341000209
orth6r_03a12a816c95_q00_rear_right,orth6r_03a12a816c95,0,baseline,rear_right,290.0,390.0,0.0,60.0,1.0,1.0,,1.0,3,11,3,0.25037037037037035,1,0,False,0,9,-0.00013708226630788217,0.6705308158227199,129.29445322600077
orth6r_03a12a816c95_q00_mid_left,orth6r_03a12a816c95,0,baseline,mid_left,290.0,390.0,0.0,60.0,1.0,1.0,,1.0,4,12,3,0.2859259259259259,29,1,True,7,9,0.006026850528463891,0.2803802917471141,141.8598174620056
orth6r_03e704fdcfb4_q00_rear_left,orth6r_03e704fdcfb4,0,baseline,rear_left,60.0,296.1418578992169,390.0,0.0,1.0,1.0,1.0,,0,0,0,0.0,0,0,False,0,9,,,232.33751821199985
orth6r_03e704fdcfb4_q00_rear_center,orth6r_03e704fdcfb4,0,baseline,rear_center,60.0,296.1418578992169,390.0,0.0,1.0,1.0,1.0,,0,0,0,0.0,0,0,False,0,9,,,221.22446214999945
