candidate_id,robot,sample_index,sampling_kind,parking_id,span2_mm,span3_mm,span4_mm,span5_mm,factor2,factor3,factor4,factor5,tier1_complete,tier2_complete,tier3_complete,storage_balanced_fraction,pickup_complete,pickup_min_slot_complete,module_complete,module_stress_complete,module_stress_total,module_stress_min_clearance_m,module_stress_min_joint_margin_rad,elapsed_s
orth6r_4ab675a33402_q00_rear_left,orth6r_4ab675a33402,0,baseline,rear_left,290.0,390.0,0.0,60.0,1.0,1.0,,1.0,4,11,0,0.23555555555555555,40,3,True,6,9,0.0005217123291598597,0.021483947826871574,103.41668133300118
orth6r_4ab675a33402_q00_rear_center,orth6r_4ab675a33402,0,baseline,rear_center,290.0,390.0,0.0,60.0,1.0,1.0,,1.0,11,20,1,0.5234567901234568,51,6,True,9,9,0.000521712591799943,0.24221731794287482,95.89838493199932
orth6r_4ab675a33402_q00_rear_right,orth6r_4ab675a33402,0,baseline,rear_right,290.0,390.0,0.0,60.0,1.0,1.0,,1.0,12,21,6,0.6207407407407407,56,6,True,9,9,0.0005217125922697269,0.22069628494919713,86.32290394900338
orth6r_4ab675a33402_q00_mid_left,orth6r_4ab675a33402,0,baseline,mid_left,290.0,390.0,0.0,60.0,1.0,1.0,,1.0,11,19,0,0.4977777777777777,44,6,True,9,9,0.0005217125934218192,0.33868032647900836,97.65998448200116
orth6r_4ab675a33402_q01_rear_left,orth6r_4ab675a33402,1,sobol,rear_left,220.37192650604993,477.1096069877968,0.0,71.73009887337685,0.759903194848448,1.2233579666353762,,1.195501647889614,9,17,0,0.4266666666666667,51,7,False,0,9,-0.00011709908704270189,0.1506113259404156,92.88681606599857
orth6r_4ab675a33402_q01_rear_center,orth6r_4ab675a33402,1,sobol,rear_center,220.37192650604993,477.1096069877968,0.0,71.73009887337685,0.759903194848448,1.2233579666353762,,1.195501647889614,12,20,1,0.5456790123456791,52,5,False,0,9,-0.00011709933718180576,0.5093622685370924,85.2989606379997
orth6r_4ab675a33402_q01_rear_right,orth6r_4ab675a33402,1,sobol,rear_right,220.37192650604993,477.1096069877968,0.0,71.73009887337685,0.759903194848448,1.2233579666353762,,1.195501647889614,13,21,7,0.6553086419753086,38,5,False,0,9,-0.0001170993582020885,0.22069628494920157,90.05648490800377
orth6r_4ab675a33402_q01_mid_left,orth6r_4ab675a33402,1,sobol,mid_left,220.37192650604993,477.1096069877968,0.0,71.73009887337685,0.759903194848448,1.2233579666353762,,1.195501647889614,12,22,0,0.56,45,6,False,0,9,-0.00011709932071377743,0.6547845096276255,97.61867672300286
orth6r_4ab675a33402_q02_rear_left,orth6r_4ab675a33402,2,sobol,rear_left,291.4129546331242,309.1752206766978,0.0,52.10004832595586,1.0048722573556006,0.7927569760940969,,0.8683341387659311,1,1,0,0.035555555555555556,20,0,False,0,9,,,137.82942861699848
orth6r_4ab675a33402_q02_rear_center,orth6r_4ab675a33402,2,sobol,rear_center,291.4129546331242,309.1752206766978,0.0,52.10004832595586,1.0048722573556006,0.7927569760940969,,0.8683341387659311,4,10,0,0.22222222222222224,44,5,True,6,9,0.00666666666666671,0.0013900289541095567,102.7698812699964
orth6r_4ab675a33402_q02_rear_right,orth6r_4ab675a33402,2,sobol,rear_right,291.4129546331242,309.1752206766978,0.0,52.10004832595586,1.0048722573556006,0.7927569760940969,,0.8683341387659311,8,14,1,0.37679012345679014,52,6,True,9,9,0.00666666666666671,0.105723789281436,98.33428815499792
orth6r_4ab675a33402_q02_mid_left,orth6r_4ab675a33402,2,sobol,mid_left,291.4129546331242,309.1752206766978,0.0,52.10004832595586,1.0048722573556006,0.7927569760940969,,0.8683341387659311,4,12,0,0.24888888888888885,42,3,True,9,9,0.00666666666666671,0.04743642488609323,114.84742921900033
orth6r_4ab675a33402_q03_rear_left,orth6r_4ab675a33402,3,sobol,rear_left,359.8312904313206,414.22999280970544,0.0,62.65976476483047,1.2407975532114506,1.0621281866915524,,1.0443294127471745,11,20,0,0.5111111111111111,49,6,False,0,9,-0.0004705285070051163,0.1439508757258543,87.58083413099666
orth6r_4ab675a33402_q03_rear_center,orth6r_4ab675a33402,3,sobol,rear_center,359.8312904313206,414.22999280970544,0.0,62.65976476483047,1.2407975532114506,1.0621281866915524,,1.0443294127471745,14,24,8,0.7298765432098765,50,6,False,0,9,-0.0004705285327964645,0.3488138047103657,85.27628468500188
orth6r_4ab675a33402_q03_rear_right,orth6r_4ab675a33402,3,sobol,rear_right,359.8312904313206,414.22999280970544,0.0,62.65976476483047,1.2407975532114506,1.0621281866915524,,1.0443294127471745,15,25,9,0.7777777777777778,57,6,False,0,9,-0.00047052853971541603,0.22069628494919713,94.64785951399972
orth6r_4ab675a33402_q03_mid_left,orth6r_4ab675a33402,3,sobol,mid_left,359.8312904313206,414.22999280970544,0.0,62.65976476483047,1.2407975532114506,1.0621281866915524,,1.0443294127471745,15,24,4,0.7027160493827159,48,6,False,0,9,-0.0004705284997636103,0.4194887055407768,99.61613316399598
orth6r_4ab675a33402_q04_rear_left,orth6r_4ab675a33402,4,sobol,rear_left,287.8168336674571,384.2410330893472,0.0,54.16847764514386,0.9924718402326107,0.9852334181778133,,0.9028079607523978,4,8,0,0.19555555555555557,38,3,True,5,9,0.006048147316022413,3.47437634218295e-11,110.38348136199784
orth6r_4ab675a33402_q04_rear_center,orth6r_4ab675a33402,4,sobol,rear_center,287.8168336674571,384.2410330893472,0.0,54.16847764514386,0.9924718402326107,0.9852334181778133,,0.9028079607523978,11,17,1,0.48345679012345677,51,6,True,9,9,0.006048147546382707,0.2232099525942033,95.63461339999776
orth6r_4ab675a33402_q04_rear_right,orth6r_4ab675a33402,4,sobol,rear_right,287.8168336674571,384.2410330893472,0.0,54.16847764514386,0.9924718402326107,0.9852334181778133,,0.9028079607523978,12,21,6,0.6207407407407407,54,6,True,9,9,0.00604814755112211,0.22069628494919713,97.69605472100375
orth6r_4ab675a33402_q04_mid_left,orth6r_4ab675a33402,4,sobol,mid_left,287.8168336674571,384.2410330893472,0.0,54.16847764514386,0.9924718402326107,0.9852334181778133,,0.9028079607523978,10,19,0,0.47555555555555556,44,6,True,9,9,0.006048147550611796,0.3220479063975974,90.17591213099513
orth6r_4ab675a33402_q05_rear_left,orth6r_4ab675a33402,5,sobol,rear_left,261.81384137365967,433.21303294971585,0.0,47.37656059674918,0.9028063495643437,1.110802648589015,,0.7896093432791531,4,13,0,0.2622222222222222,43,5,True,9,9,0.00666666666666671,0.05327858715348066,99.88125225099793
