candidate_id,robot,sample_index,span2_mm,span3_mm,span4_mm,span5_mm,size_x_mm,size_y_mm,size_z_mm,worst_axis_ratio,arm_size_x_mm,arm_size_y_mm,arm_size_z_mm,volume_l,clearance_mm,collision_free,rule_pass,evaluations,elapsed_s
orth6r_148133fca859_q00,orth6r_148133fca859,0,60.0,296.1418578992169,390.0,0.0,499.4891900840629,461.8516184402736,502.5039554074109,0.8375065923456848,374.4891900840629,410.9958208642566,307.5039554074109,115.92258261646114,8.62409479380634,True,True,3603,3.0856579399987822
orth6r_148133fca859_q01,orth6r_148133fca859,1,45.59419169090688,362.28750111520856,466.2456426769495,0.0,493.62174472929274,536.683314552616,493.6179140826383,0.8944721909210267,368.62174472929274,536.683314552616,298.6179140826383,130.76854407493357,-1.405859604972401,False,False,4595,5.634963944001356
orth6r_148133fca859_q02,orth6r_148133fca859,2,60.292335441336036,234.76852376307096,338.65031411871314,0.0,360.00000410413446,421.4772631273394,501.5695732512101,0.8359492887520169,258.2028947598479,421.4772631273394,306.5695732512101,76.10406242828708,5.647207269847112,True,True,3008,3.745904609997524
orth6r_148133fca859_q03,orth6r_148133fca859,3,74.44785319268702,314.54061453396264,407.2884709713981,0.0,503.4043711746257,360.06412546784094,508.66032709563626,0.8477672118260604,503.2783719170746,359.45811004062256,313.66032709563626,92.19867964188076,5.000079178597995,True,True,3109,6.158585331002541
orth6r_148133fca859_q04,orth6r_148133fca859,4,59.54831041395664,291.7688549235737,352.09510469343513,0.0,360.0018661649551,471.74914813400545,498.3143141616164,0.8305238569360273,255.91912563507668,471.1707653233787,303.3143141616164,84.62900585199115,5.000695088647943,True,True,2939,4.440808827996079
orth6r_148133fca859_q05,orth6r_148133fca859,5,54.16838097386062,328.9551601125219,307.94764387886977,0.0,497.6980115494298,402.71441566371766,497.6981318238071,0.8294968863730119,478.07352606151585,277.7144156637177,302.6981318238071,99.7537181332352,5.000019172878206,True,True,4586,6.798221475997707
orth6r_148133fca859_q06,orth6r_148133fca859,6,68.59140786342323,277.06553608328966,448.4892171761021,0.0,451.7687205592081,497.12595840061334,505.22308728584966,0.8420384788097495,326.7687205592081,497.12595840061334,425.73995411935175,113.46601115447575,5.002207304363571,True,True,3645,5.519357491997653
orth6r_148133fca859_q07,orth6r_148133fca859,7,65.6723703816533,345.41365650363826,370.90123549103737,0.0,498.0390749242265,423.60918666116333,498.28899062373665,0.8304816510395612,477.3051340314458,324.99672033065286,303.28899062373665,105.12598535904377,5.104791824090661,True,True,4269,5.679674254999554
orth6r_148133fca859_q08,orth6r_148133fca859,8,51.45077470690012,251.3527478442647,437.5233599357307,0.0,431.9899920025202,470.72724004316933,499.45077468299615,0.8324179578049936,392.32945567975446,470.72724004316933,304.45077468299615,101.56304366101102,4.450774695119078,False,False,4024,5.994132068997715
orth6r_148133fca859_q09,orth6r_148133fca859,9,49.75300292484462,296.7948660796798,382.8027239302174,0.0,439.09666235294765,494.5541467474986,546.3598894893797,0.910599815815633,314.09666235294765,487.89339701495436,351.3598894893797,118.64591560244673,2.752691369919291,False,False,3420,5.850557469995692
orth6r_148133fca859_q10,orth6r_148133fca859,10,65.61195756308734,281.4621075795579,425.04984837491065,0.0,466.10334807087713,378.8549110100092,504.56470683697216,0.8409411780616204,437.37921549995997,378.85488169686977,309.56470683697216,89.09883246038387,5.001132270776303,True,True,5006,9.69391725299647
orth6r_148133fca859_q11,orth6r_148133fca859,11,70.17554070800543,359.01986172929975,295.6645616423339,0.0,506.0573880670062,410.7557634307004,506.05745046914006,0.8434290841152335,398.2354693301248,375.15171912640733,311.05745046914006,105.19213231882934,12.340112501714213,True,True,3495,4.576673165000102
orth6r_148133fca859_q12,orth6r_148133fca859,12,54.576578848063946,228.49253346938212,460.58113493956625,0.0,405.9600921336971,463.32658573279815,503.8970950209809,0.8398284917016349,388.43436070276255,463.32658573279815,308.8970950209809,94.77906451581,5.000040271457666,True,True,10692,17.21556653999869
orth6r_148133fca859_q13,orth6r_148133fca859,13,56.67560166679323,339.9600772349833,395.19655647687614,0.0,494.9188878232652,427.1464415717957,494.91888782723044,0.8248648130453841,492.7434281562888,318.6841045301201,299.91888782723044,104.62725934735926,5.000001505314406,True,True,3664,4.398306153998419
orth6r_148133fca859_q14,orth6r_148133fca859,14,71.81266388855875,247.8410906738162,364.3781901989132,0.0,458.683722700439,507.25942242160414,503.2270338010987,0.8454323707026736,333.683722700439,507.25942242160414,308.2270338010987,117.0866593732557,7.738757190817417,True,True,2159,3.9221750770011568
orth6r_148133fca859_q15,orth6r_148133fca859,15,63.51305812597274,318.3140196611211,478.71915823314345,0.0,497.5109378957245,410.95203948823547,497.5110339514093,0.8291850565856822,478.8948784991726,410.95203948823547,302.5110339514093,101.71769038743915,5.001561617342783,True,True,4096,6.981694620000781
orth6r_148133fca859_q16,orth6r_148133fca859,16,48.11597093939781,260.232573976886,326.74882967490703,0.0,442.54703164810036,360.0000426927138,496.11597093825424,0.826859951563757,429.2860116089504,235.00004269271378,301.1159709382542,79.03968347848212,1.1159709388150612,False,False,3226,5.805039364997356
orth6r_27d47e03a0b7_q00,orth6r_27d47e03a0b7,0,290.0,390.0,0.0,60.0,481.7904126349634,360.0,495.61106798964437,0.8260184466494074,454.3247590261468,342.12089531963574,300.61106798964437,85.96103794314683,5.000005928119763,True,True,6496,12.434316450999177
orth6r_27d47e03a0b7_q01,orth6r_27d47e03a0b7,1,220.37192650604993,477.1096069877968,0.0,71.73009887337685,466.27146781554893,391.25300353190784,497.3090201369103,0.8288483668948505,466.27146781554893,391.25300353190784,302.3090201369103,90.72414036356244,5.000000414149584,True,True,6128,11.842215055999986
orth6r_27d47e03a0b7_q02,orth6r_27d47e03a0b7,2,291.4129546331242,309.1752206766978,0.0,52.10004832595586,458.84267432584295,457.6604554244278,491.1365222815202,0.8185608704692003,333.84267432584295,332.6604554244278,491.1365222815202,103.135795204458,9.697354803288667,True,True,4334,8.382115726002667
orth6r_27d47e03a0b7_q03,orth6r_27d47e03a0b7,3,359.8312904313206,414.22999280970544,0.0,62.65976476483047,442.2857526261643,516.7416546632006,516.7416547244258,0.8612360912073763,334.16814897151056,501.71066189453796,321.74165472442576,118.09999868143947,5.003175641313799,True,True,4059,5.241796907001117
orth6r_27d47e03a0b7_q04,orth6r_27d47e03a0b7,4,287.8168336674571,384.2410330893472,0.0,54.16847764514386,479.2984069768631,360.0,495.581263562697,0.825968772604495,458.7808865151795,336.60269081012564,300.58126356269696,85.51127165514536,5.0018424958256364,True,True,8482,15.001382298003591
orth6r_27d47e03a0b7_q05,orth6r_27d47e03a0b7,5,261.81384137365967,433.21303294971585,0.0,47.37656059674918,429.87890407671625,387.5122621565564,496.44849971768815,0.8274141661961469,429.87890407671625,381.38430259718035,301.44849971768815,82.70005248369537,5.002160656039742,True,True,6951,12.645883010001853
