candidate_id,robot,factor2,factor3,span2_m,span3_m,parking_id,tier1_complete,tier2_complete,tier3_complete,tier1_total,tier2_total,tier3_total,storage_balanced_fraction,pickup_complete,pickup_total,pickup_all_angle_slots,pickup_min_slot_complete,module_complete,elapsed_s
xarm6_s2_0p800_s3_0p800_rear_left,xarm6,0.8,0.8,0.2766564123115167,0.2774782214762683,rear_left,4,2,0,15,25,27,0.11555555555555556,12,72,0,0,False,65.45270821702434
xarm6_s2_0p800_s3_0p800_rear_center,xarm6,0.8,0.8,0.2766564123115167,0.2774782214762683,rear_center,9,14,2,15,25,27,0.411358024691358,51,72,1,3,True,49.299770935002016
xarm6_s2_0p800_s3_0p900_rear_left,xarm6,0.8,0.9,0.2766564123115167,0.31216299916080187,rear_left,5,4,0,15,25,27,0.16444444444444442,23,72,0,0,False,55.35827026300831
xarm6_s2_0p800_s3_0p900_rear_center,xarm6,0.8,0.9,0.2766564123115167,0.31216299916080187,rear_center,12,19,5,15,25,27,0.5817283950617284,62,72,2,7,True,43.205530017992714
xarm6_s2_0p800_s3_1p000_rear_left,xarm6,0.8,1.0,0.2766564123115167,0.3468477768453354,rear_left,8,9,0,15,25,27,0.29777777777777775,36,72,0,0,False,47.8641329370148
xarm6_s2_0p800_s3_1p000_rear_center,xarm6,0.8,1.0,0.2766564123115167,0.3468477768453354,rear_center,14,25,10,15,25,27,0.7679012345679013,66,72,3,9,True,42.400500254007056
xarm6_s2_0p800_s3_1p100_rear_left,xarm6,0.8,1.1,0.2766564123115167,0.381532554529869,rear_left,11,18,3,15,25,27,0.5214814814814814,48,72,1,0,True,57.5509426969802
xarm6_s2_0p800_s3_1p100_rear_center,xarm6,0.8,1.1,0.2766564123115167,0.381532554529869,rear_center,15,25,15,15,25,27,0.8518518518518517,64,72,2,8,True,55.293373749998864
xarm6_s2_0p800_s3_1p200_rear_left,xarm6,0.8,1.2,0.2766564123115167,0.4162173322144025,rear_left,14,22,5,15,25,27,0.6661728395061729,62,72,2,7,True,47.82725220001885
xarm6_s2_0p800_s3_1p200_rear_center,xarm6,0.8,1.2,0.2766564123115167,0.4162173322144025,rear_center,15,25,22,15,25,27,0.9382716049382717,65,72,3,8,True,47.978836845984915
xarm6_s2_0p900_s3_0p800_rear_left,xarm6,0.9,0.8,0.31123846385045634,0.2774782214762683,rear_left,5,4,0,15,25,27,0.16444444444444442,23,72,0,0,False,57.90030180499889
xarm6_s2_0p900_s3_0p800_rear_center,xarm6,0.9,0.8,0.31123846385045634,0.2774782214762683,rear_center,12,19,4,15,25,27,0.5693827160493827,61,72,1,7,True,45.919166256993776
xarm6_s2_0p900_s3_0p900_rear_left,xarm6,0.9,0.9,0.31123846385045634,0.31216299916080187,rear_left,8,9,0,15,25,27,0.29777777777777775,35,72,0,0,False,49.55599641299341
xarm6_s2_0p900_s3_0p900_rear_center,xarm6,0.9,0.9,0.31123846385045634,0.31216299916080187,rear_center,14,25,10,15,25,27,0.7679012345679013,66,72,3,9,True,43.99529979599174
xarm6_s2_0p900_s3_1p000_rear_left,xarm6,0.9,1.0,0.31123846385045634,0.3468477768453354,rear_left,11,18,3,15,25,27,0.5214814814814814,48,72,1,0,True,45.715394052997
xarm6_s2_0p900_s3_1p000_rear_center,xarm6,0.9,1.0,0.31123846385045634,0.3468477768453354,rear_center,15,25,14,15,25,27,0.8395061728395062,65,72,3,8,True,43.348153033002745
xarm6_s2_0p900_s3_1p100_rear_left,xarm6,0.9,1.1,0.31123846385045634,0.381532554529869,rear_left,14,22,5,15,25,27,0.6661728395061729,62,72,2,7,True,44.94484909798484
xarm6_s2_0p900_s3_1p100_rear_center,xarm6,0.9,1.1,0.31123846385045634,0.381532554529869,rear_center,14,24,20,15,25,27,0.8780246913580246,65,72,3,8,True,44.80324537798879
xarm6_s2_0p900_s3_1p200_rear_left,xarm6,0.9,1.2,0.31123846385045634,0.4162173322144025,rear_left,14,25,9,15,25,27,0.7555555555555555,67,72,4,8,True,43.84273678599857
