candidate_id,robot,factor2,factor3,span2_m,span3_m,parking_id,tier1_complete,tier2_complete,tier3_complete,tier1_total,tier2_total,tier3_total,storage_balanced_fraction,pickup_complete,pickup_total,pickup_all_angle_slots,pickup_min_slot_complete,module_complete,elapsed_s
xarm6_s2_1p000_s3_1p000_rear_left,xarm6,1.0,1.0,0.3458205153893959,0.3468477768453354,rear_left,14,22,5,15,25,27,0.6661728395061729,63,72,3,7,True,40.60998578197905
xarm6_s2_1p000_s3_1p000_rear_center,xarm6,1.0,1.0,0.3458205153893959,0.3468477768453354,rear_center,14,24,20,15,25,27,0.8780246913580246,64,72,1,8,True,41.1883756040188
xarm6_s2_0p833_s3_1p184_rear_left,xarm6,0.8328638547100127,1.1844804170541465,0.28802140748501553,0.41083439937206645,rear_left,14,23,6,15,25,27,0.6918518518518519,64,72,3,8,True,42.18137851700885
xarm6_s2_0p833_s3_1p184_rear_center,xarm6,0.8328638547100127,1.1844804170541465,0.28802140748501553,0.41083439937206645,rear_center,15,25,22,15,25,27,0.9382716049382717,65,72,3,8,True,42.44744348799577
xarm6_s2_1p177_s3_0p981_rear_left,xarm6,1.1773086660541594,0.981173831038177,0.4071374896672516,0.34031796199441244,rear_left,14,24,8,15,25,27,0.7298765432098765,65,72,3,8,True,41.87433918699389
xarm6_s2_1p177_s3_0p981_rear_center,xarm6,1.1773086660541594,0.981173831038177,0.4071374896672516,0.34031796199441244,rear_center,12,23,18,15,25,27,0.7955555555555556,61,72,2,7,True,41.03145458101062
xarm6_s2_1p055_s3_1p024_rear_left,xarm6,1.0548440334387124,1.024284705054015,0.36478670729920465,0.3552708728046652,rear_left,13,25,8,15,25,27,0.7209876543209877,66,72,3,8,True,42.42375986397383
xarm6_s2_1p055_s3_1p024_rear_center,xarm6,1.0548440334387124,1.024284705054015,0.36478670729920465,0.3552708728046652,rear_center,12,24,21,15,25,27,0.845925925925926,63,72,1,8,True,42.673574132000795
xarm6_s2_0p962_s3_0p821_rear_left,xarm6,0.9622923848219216,0.8208567639812827,0.3327804484744078,0.2847123436953641,rear_left,7,9,0,15,25,27,0.27555555555555555,35,72,0,0,False,51.26440084600472
xarm6_s2_0p962_s3_0p821_rear_center,xarm6,0.9622923848219216,0.8208567639812827,0.3327804484744078,0.2847123436953641,rear_center,14,23,8,15,25,27,0.7165432098765433,63,72,1,8,True,43.31308424301096
xarm6_s2_0p930_s3_1p105_rear_left,xarm6,0.9295954047702253,1.1051761098206043,0.3214731619812534,0.3833278767138529,rear_left,14,24,7,15,25,27,0.7175308641975309,65,72,3,8,True,42.60916739300592
xarm6_s2_0p930_s3_1p105_rear_center,xarm6,0.9295954047702253,1.1051761098206043,0.3214731619812534,0.3833278767138529,rear_center,14,24,21,15,25,27,0.8903703703703704,64,72,2,8,True,42.604661566991126
xarm6_s2_1p085_s3_0p808_rear_left,xarm6,1.084648126270622,0.8084867489524186,0.37509357404304905,0.28042183148305916,rear_left,11,16,3,15,25,27,0.4948148148148148,46,72,0,0,True,47.96415717800846
xarm6_s2_1p085_s3_0p808_rear_center,xarm6,1.084648126270622,0.8084867489524186,0.37509357404304905,0.28042183148305916,rear_center,14,25,14,15,25,27,0.8172839506172839,63,72,1,8,True,43.312159202992916
xarm6_s2_1p214_s3_1p203_rear_left,xarm6,1.2139456341974437,1.202656514942646,0.41980730487286705,0.4171387385164157,rear_left,10,18,18,15,25,27,0.6844444444444444,63,72,3,7,True,40.65780948198517
xarm6_s2_1p214_s3_1p203_rear_center,xarm6,1.2139456341974437,1.202656514942646,0.41980730487286705,0.4171387385164157,rear_center,6,11,6,15,25,27,0.35407407407407404,59,72,1,7,True,36.30029886198463
xarm6_s2_0p807_s3_0p906_rear_left,xarm6,0.807001895736903,0.9060880322940648,0.27907781150395533,0.31427461962736086,rear_left,5,5,0,15,25,27,0.17777777777777778,24,72,0,0,False,53.72202659599134
xarm6_s2_0p807_s3_0p906_rear_center,xarm6,0.807001895736903,0.9060880322940648,0.27907781150395533,0.31427461962736086,rear_center,12,19,4,15,25,27,0.5693827160493827,65,72,2,8,True,44.22098345699487
xarm6_s2_0p757_s3_1p032_rear_left,xarm6,0.7567640305496752,1.0323533932678401,0.26170452707284525,0.3580694793736886,rear_left,7,9,0,15,25,27,0.27555555555555555,37,72,0,0,False,50.6767713589943
xarm6_s2_0p757_s3_1p032_rear_center,xarm6,0.7567640305496752,1.0323533932678401,0.26170452707284525,0.3580694793736886,rear_center,14,25,10,15,25,27,0.7679012345679013,66,72,4,8,True,43.27981444000034
xarm6_s2_1p226_s3_0p861_rear_left,xarm6,1.2262230277992785,0.8607846116647124,0.42405307945589205,0.2985612288985809,rear_left,13,25,7,15,25,27,0.7086419753086419,64,72,2,7,True,43.84774026100058
xarm6_s2_1p226_s3_0p861_rear_center,xarm6,1.2262230277992785,0.8607846116647124,0.42405307945589205,0.2985612288985809,rear_center,12,23,16,15,25,27,0.7708641975308642,61,72,3,5,True,41.373210313002346
xarm6_s2_1p104_s3_1p130_rear_left,xarm6,1.1036316980607808,1.1299716043286026,0.38165848262345337,0.39192813885973277,rear_left,12,24,13,15,25,27,0.7471604938271605,65,72,3,8,True,42.47486420700443
xarm6_s2_1p104_s3_1p130_rear_center,xarm6,1.1036316980607808,1.1299716043286026,0.38165848262345337,0.39192813885973277,rear_center,12,19,17,15,25,27,0.7298765432098766,61,72,1,8,True,41.52673917001812
xarm6_s2_0p886_s3_0p958_rear_left,xarm6,0.8860637177713215,0.9582824213430285,0.30641901154752266,0.33237812743279443,rear_left,10,10,0,15,25,27,0.35555555555555557,45,72,1,0,True,46.351957540988224
xarm6_s2_0p886_s3_0p958_rear_center,xarm6,0.8860637177713215,0.9582824213430285,0.30641901154752266,0.33237812743279443,rear_center,14,25,13,15,25,27,0.8049382716049384,64,72,1,9,True,43.63522877500509
xarm6_s2_0p974_s3_1p241_rear_left,xarm6,0.9744291133247316,1.240700140595436,0.33697757818039076,0.4303340854972221,rear_left,14,24,14,15,25,27,0.8039506172839506,68,72,4,9,True,42.93278206299874
xarm6_s2_0p974_s3_1p241_rear_center,xarm6,0.9744291133247316,1.240700140595436,0.33697757818039076,0.4303340854972221,rear_center,12,20,18,15,25,27,0.7555555555555555,63,72,2,8,True,40.77643290700507
xarm6_s2_1p004_s3_0p912_rear_left,xarm6,1.0044960207305849,0.9122720216400921,0.34737533159564815,0.3164195225840657,rear_left,11,19,3,15,25,27,0.5348148148148147,51,72,1,3,True,45.243323381000664
xarm6_s2_1p004_s3_0p912_rear_center,xarm6,1.0044960207305849,0.9122720216400921,0.34737533159564815,0.3164195225840657,rear_center,14,25,15,15,25,27,0.8296296296296296,64,72,2,8,True,43.394080796977505
