candidate_id,robot,sample_index,sampling_kind,parking_id,span2_mm,span3_mm,span4_mm,span5_mm,factor2,factor3,factor4,factor5,tier1_complete,tier2_complete,tier3_complete,storage_balanced_fraction,pickup_complete,pickup_min_slot_complete,module_complete,module_stress_complete,module_stress_total,module_stress_min_clearance_m,module_stress_min_joint_margin_rad,elapsed_s
rm2p_offset_wrist_q00_rear_left,rm2p_offset_wrist,0,baseline,rear_left,290.0,390.0,0.0,60.0,1.0,1.0,,1.0,4,14,1,0.28790123456790123,32,2,True,8,9,-0.00013933267745838002,0.0901970204220559,58.76486689600097
rm2p_offset_wrist_q00_rear_center,rm2p_offset_wrist,0,baseline,rear_center,290.0,390.0,0.0,60.0,1.0,1.0,,1.0,7,19,5,0.4706172839506173,36,6,True,9,9,0.00666666666666671,0.47225105489724006,70.98832477399992
rm2p_offset_wrist_q00_rear_right,rm2p_offset_wrist,0,baseline,rear_right,290.0,390.0,0.0,60.0,1.0,1.0,,1.0,9,19,6,0.5274074074074074,37,6,True,9,9,0.00666666666666671,0.20520091513465277,56.15154007000092
rm2p_offset_wrist_q00_mid_left,rm2p_offset_wrist,0,baseline,mid_left,290.0,390.0,0.0,60.0,1.0,1.0,,1.0,8,20,5,0.5061728395061729,36,6,True,8,9,0.0004548275611447397,0.12418329915325588,89.81971001599959
rm2p_offset_wrist_q01_rear_left,rm2p_offset_wrist,1,sobol,rear_left,260.9183107195422,433.16841759067023,0.0,63.6686912253499,0.8997183128260076,1.1106882502324877,,1.0611448537558317,5,15,2,0.3358024691358024,36,6,True,8,9,-0.0009786593276979033,0.2107072159023522,62.101498182000796
rm2p_offset_wrist_q01_rear_center,rm2p_offset_wrist,1,sobol,rear_center,260.9183107195422,433.16841759067023,0.0,63.6686912253499,0.8997183128260076,1.1106882502324877,,1.0611448537558317,8,18,6,0.4918518518518518,36,6,True,9,9,0.00666666666666671,0.5335116762157,73.20810275099939
rm2p_offset_wrist_q01_rear_right,rm2p_offset_wrist,1,sobol,rear_right,260.9183107195422,433.16841759067023,0.0,63.6686912253499,0.8997183128260076,1.1106882502324877,,1.0611448537558317,9,19,6,0.5274074074074074,34,5,True,9,9,0.00666666666666671,0.20400283960675125,82.3661273130001
rm2p_offset_wrist_q01_mid_left,rm2p_offset_wrist,1,sobol,mid_left,260.9183107195422,433.16841759067023,0.0,63.6686912253499,0.8997183128260076,1.1106882502324877,,1.0611448537558317,8,20,5,0.5061728395061729,36,6,True,5,9,-0.0013757193923300756,0.20005844884413548,70.66124408399992
rm2p_offset_wrist_q02_rear_left,rm2p_offset_wrist,2,sobol,rear_left,315.5400831662118,337.9636947400868,0.0,59.55587086267769,1.0880692522972821,0.8665735762566328,,0.9925978477112949,2,8,0,0.1511111111111111,25,0,True,8,9,-0.00040706431108195745,0.0016613941234702168,70.79048392799996
rm2p_offset_wrist_q02_rear_center,rm2p_offset_wrist,2,sobol,rear_center,315.5400831662118,337.9636947400868,0.0,59.55587086267769,1.0880692522972821,0.8665735762566328,,0.9925978477112949,7,17,4,0.43160493827160495,41,6,True,9,9,0.00666666666666671,0.31471685914848413,78.22895847600012
rm2p_offset_wrist_q02_rear_right,rm2p_offset_wrist,2,sobol,rear_right,315.5400831662118,337.9636947400868,0.0,59.55587086267769,1.0880692522972821,0.8665735762566328,,0.9925978477112949,9,19,5,0.5150617283950617,38,6,True,9,9,0.00666666666666671,0.20572721381297465,65.9182041109998
rm2p_offset_wrist_q02_mid_left,rm2p_offset_wrist,2,sobol,mid_left,315.5400831662118,337.9636947400868,0.0,59.55587086267769,1.0880692522972821,0.8665735762566328,,0.9925978477112949,7,18,3,0.4325925925925926,38,4,True,9,9,0.002522815168359685,0.12930646319421246,74.67716916599966
